Course Name : Microsoft Excel - Beginner,,,,
Course Code : MEX365B,,,,
Course Date : 1/1/2023,,,,
,,,,
 No ,       Name         ,                   Email                 , Day 1 , Day 2 
----,-------------------------,---------------------------------------------,-------,-------
1, Ahmad bin Osman   , ahmad.osman@email.com                   , P     , A     
2, Siti binti Hassan , siti.hassan@email.com                   , A     , P     
3, Raju a/l Kumar    , raju.kumar@email.com                    , P     , P     
4, Noraini binti Ali , noraini.ali@email.com                   , A     , P     
5, Tan Wei Ming      , tan.weiming@email.com                   , P     , A     
6, Lee Chong Wei     , lee.chongwei@email.com                  , A     , A     
7, Farah binti Idris , farah.idris@email.com                   , P     , P     
8, Muthu a/l Raman   , muthu.raman@email.com                   , A     , P     
9, Nurul Aisyah      , nurul.aisyah@email.com                  , P     , A     
,,,,
Course Name : Microsoft Excel - Intermediate,,,,
Course Code : MEX365I,,,,
Course Date : 3/1/2023,,,,
,,,,
 No ,       Name              ,                   Email                     , Day 1 , Day 2 
----,-------------------------,---------------------------------------------,-------,-------
1, Faiz bin Abdul          , faiz.abdul@email.com                       , P     , P     
2, Aisha binti Mohd        , aisha.mohd@email.com                       , A     , P     
3, Karthik a/l Subramaniam , karthik.subramaniam@email.com              , P     , A     
4, Zara Sofia              , zara.sofia@email.com                       , P     , P     
5, Teoh Yi Ling            , teoh.yiling@email.com                      , A     , A     
6, Mohd Firdaus            , mohd.firdaus@email.com                     , P     , P     
7, Laila binti Yusof       , laila.yusof@email.com                      , A     , P     
8, Ganesh a/l Vellu        , ganesh.vellu@email.com                     , P     , A     
9, Azreena binti Nazri     , azreena.nazri@email.com                    , A     , P     
10, Wong Keat Min           , wong.keatmin@email.com                     , P     , P     
,,,,
Course Name : Microsoft Word - Intermediate,,,,
Course Code : MWD365I,,,,
Course Date : 16/4/2024,,,,
,,,,
 No ,       Name              ,                   Email                     , Day 1 , Day 2 
----,-------------------------,---------------------------------------------,-------,-------
1, Faiz bin Abdul          , faiz.abdul@email.com                       , P     , P     
2, Aisha binti Mohd        , aisha.mohd@email.com                       , A     , P     
3, Karthik a/l Subramaniam , karthik.subramaniam@email.com              , P     , A     
4, Zara Sofia              , zara.sofia@email.com                       , P     , P     
5, Teoh Yi Ling            , teoh.yiling@email.com                      , A     , A     
6, Mohd Firdaus            , mohd.firdaus@email.com                     , P     , P     
7, Laila binti Yusof       , laila.yusof@email.com                      , A     , P     
8, Ganesh a/l Vellu        , ganesh.vellu@email.com                     , P     , A     
9, Azreena binti Nazri     , azreena.nazri@email.com                    , A     , P     
10, Wong Keat Min           , wong.keatmin@email.com                     , P     , P     
,,,,
Course Name : Microsoft Power BI Fundamentals,,,,
Course Code : MWD365I,,,,
Course Date : 15/7//2024,,,,
,,,,
 No ,       Name              ,                   Email                     , Day 1 , Day 2 
----,-------------------------,---------------------------------------------,-------,-------
1, Faiz bin Abdul          , faiz.abdul@email.com                       , P     , P     
2, Aisha binti Mohd        , aisha.mohd@email.com                       , A     , P     
3, Karthik a/l Subramaniam , karthik.subramaniam@email.com              , P     , A     
4, Zara Sofia              , zara.sofia@email.com                       , P     , P     
5, Teoh Yi Ling            , teoh.yiling@email.com                      , A     , A     
6, Mohd Firdaus            , mohd.firdaus@email.com                     , P     , P     
  
